line_idx,rec_idx,bbox
0,0,"[910, 379, 1392, 3342]"
0,0,"[418, 382, 1212, 1917]"
0,0,"[717, 384, 1041, 1990]"
0,0,"[773, 381, 1126, 433]"
0,0,"[680, 519, 1264, 1949]"
0,0,"[636, 382, 1006, 573]"
0,0,"[520, 383, 955, 580]"
0,0,"[770, 387, 1059, 1587]"
0,0,"[538, 388, 918, 585]"
0,0,"[588, 388, 963, 1586]"
0,0,"[807, 381, 1195, 1947]"
0,0,"[452, 390, 1253, 3344]"
0,0,"[682, 434, 1216, 3201]"
0,0,"[760, 340, 995, 602]"
0,0,"[518, 554, 1283, 3255]"
0,0,"[821, 337, 1243, 3148]"
0,0,"[626, 434, 1254, 3114]"
0,0,"[635, 436, 860, 1580]"
0,0,"[456, 431, 1293, 3297]"
0,0,"[496, 397, 1254, 3296]"
0,0,"[560, 339, 1134, 482]"
0,0,"[575, 431, 1224, 3245]"
0,0,"[726, 433, 1264, 3252]"
0,0,"[471, 432, 1194, 1635]"
0,0,"[562, 339, 777, 1489]"
0,0,"[516, 465, 849, 1489]"
0,0,"[449, 337, 920, 1431]"
0,0,"[508, 338, 909, 1428]"
0,0,"[454, 338, 963, 1432]"
0,0,"[567, 293, 1423, 504]"
0,0,"[513, 288, 1237, 1347]"
0,0,"[612, 293, 1314, 492]"
0,0,"[520, 291, 1349, 1386]"
0,0,"[742, 288, 1389, 1384]"
0,0,"[659, 457, 1006, 1482]"
0,0,"[733, 338, 1289, 508]"
0,0,"[861, 338, 1396, 1639]"
0,0,"[859, 379, 1122, 1638]"
0,0,"[453, 382, 954, 507]"
0,0,"[445, 381, 1006, 1630]"
0,0,"[527, 376, 866, 1629]"
0,0,"[612, 335, 1200, 539]"
0,0,"[654, 339, 984, 1471]"
0,0,"[693, 332, 1049, 1640]"
0,0,"[683, 476, 1019, 1526]"
0,0,"[1045, 339, 1168, 1629]"
0,0,"[411, 335, 1031, 1694]"
0,0,"[1144, 434, 1384, 3115]"
0,0,"[464, 778, 1179, 3144]"
0,0,"[545, 517, 1317, 3205]"
0,0,"[689, 725, 1270, 3146]"
0,0,"[679, 526, 1208, 3197]"
0,0,"[605, 526, 1265, 969]"
0,0,"[586, 523, 750, 3212]"
0,0,"[719, 268, 1292, 3201]"
0,0,"[458, 530, 1145, 3141]"
0,0,"[509, 732, 1105, 3103]"
0,0,"[754, 526, 1075, 3102]"
0,0,"[538, 528, 965, 812]"
0,0,"[563, 125, 1305, 3152]"
0,0,"[920, 578, 1180, 2197]"
0,0,"[632, 123, 1234, 2218]"
0,0,"[690, 124, 1258, 890]"
0,0,"[719, 120, 1098, 2216]"
0,0,"[597, 526, 1430, 2206]"
0,0,"[958, 566, 1405, 891]"
0,0,"[555, 574, 1085, 3153]"
0,0,"[486, 131, 741, 3156]"
0,0,"[738, 570, 1324, 3093]"
0,0,"[923, 574, 1374, 2231]"
0,0,"[736, 230, 1127, 892]"
0,0,"[572, 306, 768, 3153]"
0,0,"[504, 486, 1092, 3141]"
0,0,"[554, 304, 875, 3106]"
0,0,"[460, 481, 704, 3109]"
0,0,"[456, 302, 972, 3111]"
0,0,"[489, 486, 711, 3103]"
0,0,"[789, 429, 1311, 3103]"
0,0,"[688, 349, 1043, 3100]"
0,0,"[702, 428, 1418, 643]"
0,0,"[706, 296, 1348, 3099]"
0,0,"[440, 475, 1012, 3101]"
0,0,"[624, 484, 1257, 3200]"
0,0,"[537, 698, 907, 3138]"
0,0,"[841, 265, 1412, 3188]"
0,0,"[669, 469, 1350, 3196]"
0,0,"[444, 228, 1031, 727]"
0,0,"[527, 527, 853, 3139]"
0,0,"[485, 261, 978, 742]"
0,0,"[929, 258, 1095, 3185]"
0,0,"[699, 483, 1062, 3189]"
0,0,"[894, 259, 1222, 3141]"
0,0,"[1051, 472, 1151, 3187]"
0,0,"[459, 640, 884, 3191]"
0,0,"[340, 287, 1142, 1649]"
0,0,"[820, 230, 1358, 1950]"
0,0,"[649, 121, 1417, 1947]"
0,0,"[575, 236, 984, 1951]"
0,0,"[856, 123, 1375, 283]"
0,0,"[466, 621, 826, 1959]"
0,0,"[736, 117, 1239, 287]"
0,0,"[409, 119, 853, 1854]"
0,0,"[343, 123, 1131, 1855]"
0,0,"[389, 118, 969, 1963]"
0,0,"[668, 125, 999, 656]"
0,0,"[336, 267, 1002, 1970]"
0,0,"[561, 119, 1179, 350]"
0,0,"[910, 274, 1171, 1890]"
0,0,"[509, 155, 1057, 1890]"
0,0,"[489, 153, 952, 1893]"
0,0,"[941, 154, 1119, 585]"
0,0,"[463, 1800, 951, 1892]"
0,0,"[697, 153, 1066, 1954]"
0,0,"[447, 153, 1271, 573]"
0,0,"[533, 143, 1298, 1899]"
0,0,"[574, 153, 1325, 574]"
0,0,"[638, 154, 1120, 1896]"
0,0,"[438, 323, 1246, 1900]"
0,0,"[497, 238, 1009, 1847]"
0,0,"[477, 300, 1276, 2001]"
0,0,"[568, 233, 1077, 713]"
0,0,"[437, 141, 1027, 2001]"
0,0,"[640, 267, 944, 1998]"
0,0,"[515, 246, 926, 1997]"
0,0,"[756, 223, 961, 700]"
0,0,"[428, 225, 1279, 1993]"
0,0,"[773, 595, 1371, 1988]"
0,0,"[454, 215, 1127, 1989]"
0,0,"[498, 253, 902, 1997]"
0,0,"[841, 216, 1238, 1843]"
0,0,"[478, 110, 922, 1839]"
0,0,"[803, 207, 1130, 1838]"
0,0,"[545, 116, 946, 1847]"
0,0,"[590, 117, 1066, 1846]"
0,0,"[433, 114, 748, 327]"
0,0,"[449, 112, 1044, 321]"
0,0,"[880, 299, 1181, 1842]"
0,0,"[723, 220, 1308, 643]"
0,0,"[959, 299, 1197, 1848]"
0,0,"[761, 217, 1269, 642]"
0,0,"[801, 208, 1079, 1844]"
0,0,"[705, 536, 1071, 1902]"
0,0,"[579, 162, 1412, 1760]"
0,0,"[641, 414, 821, 1746]"
0,0,"[581, 243, 1377, 1744]"
0,0,"[770, 249, 1299, 1739]"
0,0,"[489, 244, 1254, 1740]"
0,0,"[442, 243, 1172, 540]"
0,0,"[668, 350, 967, 1750]"
0,0,"[845, 242, 1235, 1731]"
0,0,"[456, 302, 1052, 546]"
0,0,"[974, 241, 1150, 1739]"
0,0,"[958, 245, 1212, 1740]"
0,0,"[529, 402, 803, 1757]"
0,0,"[846, 284, 1167, 1686]"
0,0,"[448, 288, 1035, 1685]"
0,0,"[891, 383, 1116, 1684]"
0,0,"[338, 291, 1027, 1700]"
0,0,"[526, 296, 1083, 501]"
0,0,"[762, 241, 1166, 1684]"
0,0,"[478, 289, 836, 442]"
0,0,"[481, 398, 896, 1751]"
0,0,"[651, 285, 1265, 487]"
0,0,"[687, 397, 1226, 1695]"
0,0,"[568, 291, 1196, 1677]"
0,0,"[411, 242, 911, 1759]"
0,0,"[616, 198, 773, 1856]"
0,0,"[586, 336, 900, 1852]"
0,0,"[659, 195, 896, 376]"
0,0,"[334, 193, 900, 1809]"
0,0,"[428, 194, 956, 1802]"
0,0,"[606, 200, 1282, 1785]"
0,0,"[440, 166, 1399, 1898]"
0,0,"[496, 161, 1289, 589]"
0,0,"[335, 1849, 637, 1920]"
0,0,"[546, 197, 988, 589]"
0,0,"[447, 199, 667, 1913]"
0,0,"[928, 193, 1373, 1785]"
0,0,"[452, 248, 1311, 1789]"
0,0,"[488, 246, 747, 1797]"
0,0,"[548, 208, 1379, 409]"
0,0,"[619, 241, 841, 1791]"
0,0,"[340, 488, 1247, 1760]"
0,0,"[630, 205, 1307, 418]"
0,0,"[796, 201, 1207, 1788]"
0,0,"[494, 198, 1141, 1791]"
0,0,"[552, 385, 957, 1794]"
0,0,"[594, 202, 1243, 1784]"
0,0,"[632, 205, 1182, 1786]"
0,0,"[746, 621, 1186, 2208]"
0,0,"[854, 381, 1236, 1707]"
0,0,"[867, 648, 1303, 1700]"
0,0,"[807, 385, 1269, 1729]"
0,0,"[790, 644, 1202, 1728]"
0,0,"[736, 386, 1088, 1773]"
0,0,"[490, 1257, 995, 1805]"
0,0,"[590, 638, 1275, 1788]"
0,0,"[674, 390, 1319, 1734]"
0,0,"[648, 1204, 1358, 1795]"
0,0,"[717, 384, 1401, 1760]"
0,0,"[990, 640, 1237, 692]"
0,0,"[901, 383, 1252, 1772]"
0,0,"[973, 378, 1306, 1665]"
0,0,"[773, 664, 1125, 1393]"
0,0,"[693, 471, 1241, 1675]"
0,0,"[732, 660, 1328, 1695]"
0,0,"[645, 397, 1271, 1698]"
0,0,"[840, 655, 1290, 1691]"
0,0,"[607, 381, 1006, 1751]"
0,0,"[938, 380, 1324, 1340]"
0,0,"[532, 379, 1072, 1758]"
0,0,"[770, 653, 991, 1685]"
0,0,"[540, 1286, 1373, 1456]"
0,0,"[969, 296, 1207, 1261]"
0,0,"[673, 708, 821, 1801]"
0,0,"[591, 302, 972, 1797]"
0,0,"[812, 703, 1373, 1784]"
0,0,"[761, 304, 1222, 1782]"
0,0,"[880, 699, 1312, 1770]"
0,0,"[741, 259, 1045, 1830]"
0,0,"[927, 693, 1311, 1796]"
0,0,"[825, 1492, 1386, 1808]"
0,0,"[928, 696, 1341, 1809]"
0,0,"[693, 306, 1108, 1822]"
0,0,"[1032, 258, 1157, 1759]"
0,0,"[512, 631, 1372, 1628]"
0,0,"[609, 1587, 1087, 1965]"
0,0,"[921, 339, 1351, 675]"
0,0,"[610, 1214, 1062, 2006]"
0,0,"[660, 339, 1303, 2001]"
0,0,"[540, 1240, 1157, 1953]"
0,0,"[571, 349, 1316, 1670]"
0,0,"[698, 1432, 1014, 1655]"
0,0,"[613, 344, 821, 1618]"
0,0,"[849, 1252, 1324, 1565]"
0,0,"[633, 337, 1175, 1495]"
0,0,"[541, 465, 998, 1718]"
0,0,"[609, 670, 1069, 1832]"
0,0,"[1117, 488, 1247, 1537]"
0,0,"[708, 1493, 1236, 1724]"
0,0,"[526, 491, 1325, 1602]"
0,0,"[573, 501, 927, 1636]"
0,0,"[639, 530, 1271, 1625]"
0,0,"[679, 626, 1173, 1655]"
0,0,"[1052, 499, 1201, 1649]"
0,0,"[1121, 532, 1358, 1739]"
0,0,"[833, 494, 1117, 1684]"
0,0,"[769, 1539, 1083, 1595]"
0,0,"[918, 486, 1311, 1555]"
0,0,"[623, 1436, 1144, 1528]"
0,0,"[726, 552, 1059, 1537]"
0,0,"[760, 538, 1033, 1566]"
0,0,"[853, 548, 1250, 1512]"
0,0,"[895, 540, 1184, 1523]"
0,0,"[770, 505, 1138, 1448]"
0,0,"[586, 1525, 1228, 1994]"
0,0,"[632, 534, 1114, 1560]"
0,0,"[692, 1455, 1312, 2032]"
0,0,"[565, 536, 1071, 1532]"
0,0,"[521, 1426, 981, 1566]"
0,0,"[771, 621, 1228, 1646]"
0,0,"[594, 457, 1308, 1509]"
0,0,"[758, 1421, 1049, 1656]"
0,0,"[853, 605, 1269, 1637]"
0,0,"[680, 1421, 1055, 1671]"
0,0,"[1003, 454, 1197, 643]"
0,0,"[906, 455, 1273, 1647]"
0,0,"[572, 1382, 757, 1717]"
0,0,"[651, 465, 849, 1701]"
0,0,"[495, 456, 977, 1524]"
0,0,"[1158, 595, 1371, 1638]"
0,0,"[434, 1469, 1309, 1713]"
0,0,"[570, 1628, 679, 1869]"
0,0,"[668, 450, 1265, 1631]"
0,0,"[614, 1533, 1404, 1634]"
0,0,"[632, 471, 888, 1628]"
0,0,"[437, 1524, 1318, 1693]"
0,0,"[552, 508, 1276, 1643]"
0,0,"[981, 1427, 1344, 1593]"
0,0,"[1058, 455, 1418, 1485]"
0,0,"[520, 1510, 1200, 1680]"
0,0,"[818, 447, 1167, 1617]"
0,0,"[1011, 1481, 1254, 1610]"
0,0,"[944, 448, 1226, 652]"
0,0,"[675, 184, 1135, 1535]"
0,0,"[702, 888, 1354, 1399]"
0,0,"[845, 742, 1216, 1946]"
0,0,"[657, 891, 1344, 1945]"
0,0,"[617, 734, 1082, 1943]"
0,0,"[565, 890, 907, 1989]"
0,0,"[437, 733, 1140, 2063]"
0,0,"[467, 723, 1370, 1500]"
0,0,"[552, 1594, 958, 2023]"
0,0,"[757, 737, 1174, 2035]"
0,0,"[443, 898, 704, 2044]"
0,0,"[494, 884, 1001, 1987]"
0,0,"[902, 745, 1307, 1900]"
0,0,"[678, 921, 1197, 1605]"
0,0,"[750, 749, 1143, 1864]"
0,0,"[708, 755, 1092, 1879]"
0,0,"[650, 756, 935, 1880]"
0,0,"[570, 730, 1206, 1615]"
0,0,"[986, 1247, 1387, 1910]"
0,0,"[510, 925, 1328, 1917]"
0,0,"[664, 746, 907, 1916]"
0,0,"[873, 1384, 1292, 1912]"
0,0,"[607, 748, 1001, 1389]"
0,0,"[477, 934, 997, 1913]"
0,0,"[464, 728, 1100, 884]"
0,0,"[1019, 672, 1146, 2113]"
0,0,"[577, 157, 1024, 2182]"
0,0,"[497, 163, 1254, 819]"
0,0,"[635, 155, 1037, 2179]"
0,0,"[754, 625, 1408, 2176]"
0,0,"[648, 126, 918, 2216]"
0,0,"[693, 629, 1346, 2219]"
0,0,"[785, 116, 1261, 733]"
0,0,"[696, 148, 1332, 809]"
0,0,"[758, 147, 1363, 2156]"
0,0,"[837, 2085, 1141, 2152]"
0,0,"[546, 809, 1007, 2095]"
0,0,"[532, 438, 1306, 893]"
0,0,"[468, 847, 930, 2098]"
0,0,"[799, 729, 969, 2104]"
0,0,"[676, 727, 1314, 2053]"
0,0,"[694, 731, 1253, 2107]"
0,0,"[1035, 670, 1345, 825]"
0,0,"[599, 675, 1317, 2138]"
0,0,"[669, 726, 1297, 2140]"
0,0,"[620, 676, 1429, 2153]"
0,0,"[633, 789, 1005, 2114]"
0,0,"[660, 672, 1387, 1664]"
0,0,"[407, 631, 815, 1889]"
0,0,"[243, 641, 413, 696]"
0,0,"[84, 661, 248, 716]"
0,0,"[429, 592, 855, 652]"
0,0,"[203, 609, 434, 666]"
0,0,"[88, 556, 845, 674]"
0,0,"[82, 522, 865, 639]"
0,0,"[129, 589, 684, 721]"
0,0,"[83, 568, 717, 748]"
0,0,"[241, 570, 468, 635]"
0,0,"[462, 559, 771, 650]"
0,0,"[137, 687, 388, 742]"
0,0,"[976, 228, 1297, 1831]"
0,0,"[534, 1386, 1217, 1829]"
0,0,"[737, 685, 1193, 1835]"
0,0,"[515, 1599, 977, 1852]"
0,0,"[810, 261, 978, 1860]"
0,0,"[669, 530, 1364, 1824]"
0,0,"[409, 664, 644, 720]"
0,0,"[289, 666, 766, 758]"
0,0,"[479, 710, 878, 1433]"
0,0,"[149, 703, 775, 771]"
0,0,"[81, 230, 974, 784]"
0,0,"[385, 534, 665, 577]"
0,0,"[170, 335, 303, 386]"
0,0,"[107, 326, 403, 425]"
0,0,"[106, 351, 473, 415]"
0,0,"[100, 405, 298, 468]"
0,0,"[300, 370, 436, 441]"
0,0,"[199, 293, 517, 434]"
0,0,"[108, 130, 180, 246]"
0,0,"[113, 193, 233, 278]"
0,0,"[109, 228, 322, 339]"
0,0,"[164, 254, 367, 319]"
0,0,"[106, 261, 300, 355]"
0,0,"[163, 394, 815, 1864]"
0,0,"[159, 511, 366, 566]"
0,0,"[370, 501, 583, 548]"
0,0,"[99, 491, 813, 570]"
0,0,"[98, 552, 261, 608]"
0,0,"[268, 493, 719, 594]"
0,0,"[105, 461, 685, 505]"
0,0,"[227, 439, 412, 491]"
0,0,"[404, 426, 624, 477]"
0,0,"[97, 459, 748, 534]"
0,0,"[278, 472, 424, 521]"
0,0,"[165, 465, 522, 525]"
0,0,"[477, 436, 880, 1698]"
0,0,"[586, 1008, 1157, 2048]"
0,0,"[700, 504, 1132, 864]"
0,0,"[506, 403, 1058, 1018]"
0,0,"[656, 644, 1155, 973]"
0,0,"[736, 503, 1079, 2048]"
0,0,"[815, 114, 1184, 510]"
0,0,"[540, 195, 1295, 804]"
0,0,"[618, 758, 964, 1443]"
0,0,"[706, 496, 1251, 2155]"
0,0,"[732, 183, 1298, 648]"
0,0,"[778, 119, 1202, 2045]"
0,0,"[899, 406, 1082, 855]"
0,0,"[575, 631, 1372, 2298]"
0,0,"[781, 186, 1370, 1129]"
0,0,"[697, 268, 1373, 805]"
0,0,"[490, 204, 1256, 858]"
0,0,"[689, 755, 808, 968]"
0,0,"[641, 186, 1238, 1061]"
0,0,"[717, 782, 1265, 969]"
0,0,"[748, 519, 1049, 2050]"
0,0,"[667, 189, 1002, 2159]"
0,0,"[736, 777, 972, 2250]"
0,0,"[628, 188, 974, 869]"
0,0,"[465, 110, 1289, 1500]"
0,0,"[677, 513, 1130, 792]"
